datetime,pair,event,impact
2023-02-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-02-10 10:30:00,EURUSD,CPI,High
2023-03-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-03-10 10:30:00,EURUSD,CPI,High
2023-04-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-04-10 10:30:00,EURUSD,CPI,High
2023-05-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-05-10 10:30:00,EURUSD,CPI,High
2023-06-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-06-10 10:30:00,EURUSD,CPI,High
2023-07-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-07-10 10:30:00,EURUSD,CPI,High
2023-08-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-08-10 10:30:00,EURUSD,CPI,High
2023-09-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-09-10 10:30:00,EURUSD,CPI,High
2023-10-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-10-10 10:30:00,EURUSD,CPI,High
2023-11-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-11-10 10:30:00,EURUSD,CPI,High
2023-12-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2023-12-10 10:30:00,EURUSD,CPI,High
2024-01-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-01-10 10:30:00,EURUSD,CPI,High
2024-02-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-02-10 10:30:00,EURUSD,CPI,High
2024-03-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-03-10 10:30:00,EURUSD,CPI,High
2024-04-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-04-10 10:30:00,EURUSD,CPI,High
2024-05-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-05-10 10:30:00,EURUSD,CPI,High
2024-06-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-06-10 10:30:00,EURUSD,CPI,High
2024-07-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-07-10 10:30:00,EURUSD,CPI,High
2024-08-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-08-10 10:30:00,EURUSD,CPI,High
2024-09-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-09-10 10:30:00,EURUSD,CPI,High
2024-10-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-10-10 10:30:00,EURUSD,CPI,High
2024-11-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-11-10 10:30:00,EURUSD,CPI,High
2024-12-03 08:30:00,EURUSD,Non-Farm Payrolls,High
2024-12-10 10:30:00,EURUSD,CPI,High
