timestamp,pair,action,price,lots,pnl,balance,reason,signal_json
2023-02-10,EURUSD,PLACE_OCO,1.0742292404174805,0.52,0,0,,"{'type': 'oco_straddle', 'timestamp': Timestamp('2023-02-10 00:00:00'), 'event_time': Timestamp('2023-02-10 10:30:00'), 'current_price': np.float64(1.0742292404174805), 'atr': np.float64(0.009695725781577005), 'buy_stop': np.float64(1.079077103308269), 'sell_stop': np.float64(1.069381377526692), 'buy_sl': np.float64(1.0693813775266918), 'buy_tp': np.float64(1.0984685548714228), 'sell_sl': np.float64(1.0790771033082691), 'sell_tp': np.float64(1.0499899259635381), 'risk_pct': 1.0, 'minutes_until_event': 630.0}"
2023-02-13,EURUSD,FILL_SELL,1.069381377526692,0,0,0,,
2023-02-13,EURUSD,CANCEL_OCO,1.0677714347839355,0,0,0,expired,
2023-03-10,EURUSD,PLACE_OCO,1.0584698915481567,0.58,0,0,,"{'type': 'oco_straddle', 'timestamp': Timestamp('2023-03-10 00:00:00'), 'event_time': Timestamp('2023-03-10 10:30:00'), 'current_price': np.float64(1.0584698915481567), 'atr': np.float64(0.008549800940922376), 'buy_stop': np.float64(1.062744792018618), 'sell_stop': np.float64(1.0541949910776955), 'buy_sl': np.float64(1.0541949910776955), 'buy_tp': np.float64(1.0798443939004627), 'sell_sl': np.float64(1.062744792018618), 'sell_tp': np.float64(1.0370953891958508), 'risk_pct': 1.0, 'minutes_until_event': 630.0}"
2023-03-13,EURUSD,FILL_BUY,1.062744792018618,0,0,0,,
2023-03-13,EURUSD,CANCEL_OCO,1.0683646202087402,0,0,0,expired,
2023-04-10,EURUSD,PLACE_OCO,1.0913575887680054,0.52,0,0,,"{'type': 'oco_straddle', 'timestamp': Timestamp('2023-04-10 00:00:00'), 'event_time': Timestamp('2023-04-10 10:30:00'), 'current_price': np.float64(1.0913575887680054), 'atr': np.float64(0.009645019258771639), 'buy_stop': np.float64(1.0961800983973913), 'sell_stop': np.float64(1.0865350791386195), 'buy_sl': np.float64(1.0865350791386197), 'buy_tp': np.float64(1.1154701369149345), 'sell_sl': np.float64(1.096180098397391), 'sell_tp': np.float64(1.0672450406210763), 'risk_pct': 1.0, 'minutes_until_event': 630.0}"
2023-04-11,EURUSD,CANCEL_OCO,1.086932897567749,0,0,0,expired,
2023-05-10,EURUSD,PLACE_OCO,1.096467137336731,0.64,0,0,,"{'type': 'oco_straddle', 'timestamp': Timestamp('2023-05-10 00:00:00'), 'event_time': Timestamp('2023-05-10 10:30:00'), 'current_price': np.float64(1.096467137336731), 'atr': np.float64(0.007912627288273324), 'buy_stop': np.float64(1.1004234509808677), 'sell_stop': np.float64(1.0925108236925942), 'buy_sl': np.float64(1.0925108236925944), 'buy_tp': np.float64(1.1162487055574144), 'sell_sl': np.float64(1.1004234509808675), 'sell_tp': np.float64(1.0766855691160475), 'risk_pct': 1.0, 'minutes_until_event': 630.0}"
2023-05-11,EURUSD,FILL_SELL,1.0925108236925942,0,0,0,,
2023-05-11,EURUSD,CANCEL_OCO,1.098406195640564,0,0,0,expired,
