date,action,direction,price,balance,signal,pnl
2023-08-28,OPEN,SHORT,1.0797386169433594,100000.0,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00531, BulkPressure=-0.01024, EntropyRegime=1.00, Neighbors=10', 'momentum': np.float64(-0.005314019484699473), 'bulk_pressure': np.float64(-0.010238894928260496), 'entropy_regime': np.float64(1.000440005236438)}",
2023-08-29,CLOSE,,1.082555651664734,99718.29652786252,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00087, BulkPressure=-0.00319, EntropyRegime=1.00, Neighbors=10', 'momentum': np.float64(0.0008732138837884095), 'bulk_pressure': np.float64(-0.0031899132029315934), 'entropy_regime': np.float64(1.0016411341069256)}",-281.7034721374734
2023-08-30,OPEN,LONG,1.0869210958480835,99718.29652786252,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00339, BulkPressure=0.00389, EntropyRegime=1.00, Neighbors=10', 'momentum': np.float64(0.003392835828398483), 'bulk_pressure': np.float64(0.0038947735688146154), 'entropy_regime': np.float64(1.0019159289515038)}",
2023-08-31,CLOSE,,1.0932546854019165,100351.65548324582,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00466, BulkPressure=-0.00556, EntropyRegime=1.00, Neighbors=10', 'momentum': np.float64(0.004661531350162701), 'bulk_pressure': np.float64(-0.005559719922273572), 'entropy_regime': np.float64(1.0023263824380062)}",633.3589553833008
2023-09-05,OPEN,SHORT,1.0794472694396973,100351.65548324582,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00760, BulkPressure=-0.00339, EntropyRegime=1.00, Neighbors=10', 'momentum': np.float64(-0.007603226863506252), 'bulk_pressure': np.float64(-0.0033896215065104974), 'entropy_regime': np.float64(1.0018572687315785)}",
2023-09-06,CLOSE,,1.0726161003112793,101034.77239608762,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00363, BulkPressure=0.01028, EntropyRegime=1.00, Neighbors=10', 'momentum': np.float64(-0.003628115009944699), 'bulk_pressure': np.float64(0.010282778810609775), 'entropy_regime': np.float64(1.0030785146889833)}",683.1169128417969
2023-09-08,OPEN,LONG,1.0697818994522097,101034.77239608762,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00089, BulkPressure=0.00037, EntropyRegime=1.00, Neighbors=10', 'momentum': np.float64(0.0008929747896913864), 'bulk_pressure': np.float64(0.0003739040066984003), 'entropy_regime': np.float64(1.0031096287222134)}",
2023-09-11,CLOSE,,1.071811318397522,101237.71429061884,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00118, BulkPressure=-0.00573, EntropyRegime=0.99, Neighbors=10', 'momentum': np.float64(-0.0011763970590903561), 'bulk_pressure': np.float64(-0.0057267081343700945), 'entropy_regime': np.float64(0.9940367293996085)}",202.9418945312278
2023-09-11,OPEN,SHORT,1.071811318397522,101237.71429061884,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00118, BulkPressure=-0.00573, EntropyRegime=0.99, Neighbors=10', 'momentum': np.float64(-0.0011763970590903561), 'bulk_pressure': np.float64(-0.0057267081343700945), 'entropy_regime': np.float64(0.9940367293996085)}",
2023-09-12,CLOSE,,1.0750375986099243,100915.0862693786,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00310, BulkPressure=-0.00510, EntropyRegime=0.97, Neighbors=10', 'momentum': np.float64(0.003104304908706973), 'bulk_pressure': np.float64(-0.0050973858472750586), 'entropy_regime': np.float64(0.9683914929427532)}",-322.6280212402344
2023-09-13,OPEN,LONG,1.075326681137085,100915.0862693786,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00390, BulkPressure=0.00559, EntropyRegime=0.97, Neighbors=10', 'momentum': np.float64(0.003897242542929996), 'bulk_pressure': np.float64(0.005585844843337504), 'entropy_regime': np.float64(0.9698160500742047)}",
